               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.024678,           0.0095062,             0.03105,             0.77765,             0.82724,             0.89776,             0.66605,            0.013754,           0.0030163,            0.011629,            0.006436,            0.006436,            0.006436
                  38,            0.023188,            0.010086,            0.031091,             0.76798,             0.81055,             0.86847,             0.66087,            0.015281,           0.0031617,            0.012606,            0.006337,            0.006337,            0.006337
                  39,            0.023747,            0.010073,            0.030087,             0.72876,             0.84637,             0.89235,             0.67079,            0.015649,           0.0033603,            0.011657,            0.006238,            0.006238,            0.006238
                  40,            0.023778,           0.0099375,            0.030687,             0.84731,             0.85318,             0.91878,             0.70144,            0.012623,           0.0029733,           0.0092542,            0.006139,            0.006139,            0.006139
                  41,            0.023904,           0.0098344,             0.02879,             0.75963,             0.87492,             0.90951,             0.70403,            0.013731,           0.0028182,           0.0089631,             0.00604,             0.00604,             0.00604
                  42,            0.023477,           0.0095508,            0.028323,             0.81983,              0.8466,             0.91015,             0.63783,            0.015856,           0.0031372,           0.0082712,            0.005941,            0.005941,            0.005941
                  43,            0.025431,           0.0096853,            0.027035,             0.74465,             0.87581,             0.90695,             0.64705,            0.015732,           0.0032418,           0.0097822,            0.005842,            0.005842,            0.005842
                  44,            0.022505,           0.0096281,            0.027708,             0.83158,             0.82999,             0.90949,              0.7019,            0.015405,           0.0031006,            0.010117,            0.005743,            0.005743,            0.005743
                  45,            0.023265,            0.010047,            0.029265,             0.85072,             0.88092,              0.9245,             0.68772,            0.014203,           0.0030149,           0.0080122,            0.005644,            0.005644,            0.005644
                  46,            0.022247,            0.009783,            0.027575,             0.83049,             0.84993,             0.92555,              0.7252,            0.014778,           0.0029393,           0.0083571,            0.005545,            0.005545,            0.005545
                  47,            0.022586,           0.0095401,            0.027662,             0.81273,             0.90344,             0.91333,             0.71419,            0.014167,           0.0030264,           0.0091557,            0.005446,            0.005446,            0.005446
                  48,            0.022482,           0.0094098,            0.026627,             0.87779,             0.86081,             0.93776,             0.75787,            0.014529,           0.0029432,           0.0080488,            0.005347,            0.005347,            0.005347
                  49,            0.021724,           0.0091817,            0.026508,             0.86391,             0.84477,             0.92779,             0.65867,            0.014957,           0.0030228,            0.011183,            0.005248,            0.005248,            0.005248
                  50,            0.021724,           0.0093621,            0.028724,             0.85628,             0.90941,             0.94109,             0.71018,             0.01471,           0.0028721,           0.0093369,            0.005149,            0.005149,            0.005149
                  51,            0.023317,           0.0095661,            0.025993,             0.90565,             0.86995,             0.93433,             0.72687,            0.014792,           0.0027745,           0.0086461,             0.00505,             0.00505,             0.00505
                  52,            0.022117,           0.0094052,            0.024906,             0.84262,             0.87981,             0.93559,             0.69873,            0.014271,           0.0029395,           0.0096947,            0.004951,            0.004951,            0.004951
                  53,            0.023023,           0.0092408,            0.025935,              0.8716,             0.90284,             0.93942,             0.73402,            0.013895,            0.002782,            0.011449,            0.004852,            0.004852,            0.004852
                  54,             0.02164,           0.0093143,            0.024391,             0.89725,             0.86403,             0.93341,             0.72512,            0.012965,           0.0026678,           0.0090876,            0.004753,            0.004753,            0.004753
                  55,            0.021757,           0.0095238,            0.025451,             0.86075,             0.89339,             0.93306,             0.72885,            0.013436,           0.0029313,            0.010284,            0.004654,            0.004654,            0.004654
                  56,            0.021761,           0.0090727,            0.024024,             0.88956,             0.87958,             0.93892,             0.74305,            0.014943,           0.0028483,             0.01059,            0.004555,            0.004555,            0.004555
                  57,            0.020567,           0.0090571,            0.024057,             0.90279,             0.83088,             0.93002,             0.72428,            0.014627,           0.0029169,            0.012378,            0.004456,            0.004456,            0.004456
                  58,            0.021067,           0.0089904,             0.02223,              0.8634,             0.86738,             0.93334,             0.73695,              0.0129,            0.002701,            0.010326,            0.004357,            0.004357,            0.004357
                  59,            0.020861,           0.0089002,            0.021409,             0.91006,             0.88323,             0.95345,             0.77828,            0.011637,           0.0026519,           0.0071633,            0.004258,            0.004258,            0.004258
                  60,             0.02024,           0.0089295,            0.022759,             0.87257,             0.87616,              0.9376,             0.76333,            0.012569,           0.0025993,            0.010421,            0.004159,            0.004159,            0.004159
                  61,             0.02011,           0.0088918,            0.021076,             0.85431,             0.89163,             0.92372,             0.72887,            0.011904,           0.0028134,            0.011109,             0.00406,             0.00406,             0.00406
                  62,            0.021968,           0.0089335,            0.022857,             0.86533,             0.85058,             0.92706,             0.72309,             0.01404,           0.0027962,           0.0094856,            0.003961,            0.003961,            0.003961
                  63,            0.020358,           0.0087077,            0.021877,             0.86705,             0.87058,             0.94369,             0.75746,            0.013059,           0.0027789,            0.010855,            0.003862,            0.003862,            0.003862
                  64,            0.021374,           0.0086466,               0.023,             0.90571,             0.87397,             0.95023,             0.76721,             0.01285,           0.0025339,           0.0061957,            0.003763,            0.003763,            0.003763
                  65,            0.020199,           0.0090474,            0.023403,             0.91692,             0.87443,             0.95132,             0.78307,            0.010974,           0.0025028,           0.0053584,            0.003664,            0.003664,            0.003664
                  66,             0.01979,           0.0087062,            0.021893,             0.89418,             0.87395,             0.94088,             0.76908,            0.011517,            0.002554,           0.0065885,            0.003565,            0.003565,            0.003565
                  67,            0.020122,           0.0085354,            0.021871,              0.8803,             0.88848,             0.93553,             0.75789,            0.012751,            0.002606,           0.0063178,            0.003466,            0.003466,            0.003466
                  68,            0.019018,           0.0086273,            0.022186,             0.88847,             0.83048,             0.91474,             0.71459,            0.013428,           0.0026352,           0.0072546,            0.003367,            0.003367,            0.003367
                  69,            0.017649,           0.0085769,            0.020946,             0.89296,             0.87998,             0.95101,             0.74526,            0.012396,           0.0027941,           0.0069993,            0.003268,            0.003268,            0.003268
                  70,            0.018121,           0.0084812,            0.020405,             0.90397,             0.90215,              0.9524,             0.77453,            0.011614,           0.0026139,           0.0060733,            0.003169,            0.003169,            0.003169
                  71,            0.019108,           0.0083265,            0.020471,             0.90434,             0.88963,             0.94765,             0.76066,            0.011384,           0.0026579,           0.0078356,             0.00307,             0.00307,             0.00307
                  72,            0.018752,           0.0084936,            0.020067,             0.87938,             0.88656,             0.94655,             0.76242,             0.01216,             0.00275,           0.0087968,            0.002971,            0.002971,            0.002971
                  73,            0.017967,           0.0085101,            0.019228,             0.92084,             0.88198,             0.95421,             0.76752,            0.012884,            0.002674,           0.0068365,            0.002872,            0.002872,            0.002872
                  74,            0.017312,           0.0082443,            0.018441,              0.9063,             0.86384,             0.94805,             0.74691,            0.013351,           0.0025957,           0.0082719,            0.002773,            0.002773,            0.002773
                  75,            0.018124,           0.0080758,            0.021333,             0.92505,             0.86674,             0.94449,             0.77644,            0.011167,           0.0025284,           0.0086801,            0.002674,            0.002674,            0.002674
                  76,            0.017414,           0.0080968,            0.019534,             0.88324,             0.86901,             0.94583,             0.75466,            0.012313,           0.0026468,           0.0081865,            0.002575,            0.002575,            0.002575
